"variable_std","var_category","is_exposure","is_mediator","is_unobserved_bias","num_roles_identified","perc_exposure","perc_mediator","perc_unobserved_bias","tier"
"crp","lab_biomarker",TRUE,FALSE,FALSE,1,34.1935483870968,0,0.645161290322581,1
"procalcitonin","lab_biomarker",TRUE,FALSE,FALSE,1,22.5806451612903,0,0.645161290322581,1
"age","demographic",TRUE,FALSE,FALSE,1,10.9677419354839,0.645161290322581,0.645161290322581,1
"lactate","lab_biomarker",TRUE,FALSE,FALSE,1,5.80645161290323,0,0,2
"nlr","lab_biomarker",TRUE,FALSE,FALSE,1,5.16129032258065,0,0,2
"vital_signs","clinical_sign",TRUE,FALSE,FALSE,1,5.16129032258065,0,0,2
"wbc","lab_biomarker",TRUE,FALSE,FALSE,1,4.51612903225806,0,0,3
"bnp_ntprobnp","lab_biomarker",TRUE,FALSE,FALSE,1,3.2258064516129,0,0,3
"cbc_indices","lab_biomarker",TRUE,FALSE,FALSE,1,3.2258064516129,0,0,3
"platelet_count","lab_biomarker",TRUE,FALSE,FALSE,1,3.2258064516129,0,0,3
"hypoxia","clinical_sign",TRUE,FALSE,FALSE,1,2.58064516129032,0,0,3
"plasma_strem1","lab_biomarker",TRUE,FALSE,FALSE,1,2.58064516129032,0,0,3
"presepsin","lab_biomarker",TRUE,FALSE,FALSE,1,2.58064516129032,0,0,3
"cytokine_general","lab_biomarker",TRUE,TRUE,FALSE,2,1.93548387096774,1.29032258064516,0,3
"shock","clinical_condition",TRUE,FALSE,FALSE,1,1.93548387096774,0,0,3
"lab_panel_general","lab_biomarker_general",TRUE,FALSE,FALSE,1,1.93548387096774,0,0.645161290322581,3
"anc","lab_biomarker",TRUE,FALSE,FALSE,1,1.93548387096774,0,0,3
"bilirubin","lab_biomarker",TRUE,FALSE,FALSE,1,1.93548387096774,0,0,3
"birth_weight","clinical_sign",TRUE,FALSE,FALSE,1,1.93548387096774,0,0,3
"breastfeeding","nutrition",TRUE,FALSE,FALSE,1,1.93548387096774,0,0,3
"il6","lab_biomarker",TRUE,FALSE,FALSE,1,1.93548387096774,0,0,3
"mechanical_ventilation","outcome",TRUE,FALSE,FALSE,1,1.93548387096774,0,0,3
"mpv","lab_biomarker",TRUE,FALSE,FALSE,1,1.93548387096774,0,0,3
"ngal","lab_biomarker",TRUE,FALSE,FALSE,1,1.93548387096774,0,0,3
"prematurity","demographic",TRUE,FALSE,FALSE,1,1.93548387096774,0,0,3
"none_reported","study_bias",FALSE,TRUE,FALSE,1,0,6.45161290322581,0,2
"plasma_pai_1_level","lab_biomarker",FALSE,TRUE,FALSE,1,0.645161290322581,1.29032258064516,0,3
"endothelial_activation_mediating_infection_severity","outcome",FALSE,TRUE,FALSE,1,0,1.29032258064516,0,3
"host_immune_response_pathways","molecular_omics",FALSE,TRUE,FALSE,1,0,1.29032258064516,0,3
"hypoperfusion","clinical_sign",FALSE,TRUE,FALSE,1,0,1.29032258064516,0,3
"immune_cell_infiltration","derived_ratio",FALSE,TRUE,FALSE,1,0,1.29032258064516,0,3
"inflammatory_response_burns","clinical_sign",FALSE,TRUE,FALSE,1,0,1.29032258064516,0,3
"renal_perfusion","imaging",FALSE,TRUE,FALSE,1,0,1.29032258064516,0,3
"single_center_study","study_bias",FALSE,FALSE,TRUE,1,0,0,30.3225806451613,1
"small_sample_size","study_bias",FALSE,FALSE,TRUE,1,0,0,20,1
"measurement_variability","measurement_bias",FALSE,FALSE,TRUE,1,0,0,16.1290322580645,1
"selection_bias","study_bias",FALSE,FALSE,TRUE,1,0,0,6.45161290322581,2
"retrospective_data","imaging",FALSE,FALSE,TRUE,1,0,0,5.80645161290323,2
"batch_effects","imaging",FALSE,FALSE,TRUE,1,0,0,3.87096774193548,3
"retrospective","imaging",FALSE,FALSE,TRUE,1,0,0,3.87096774193548,3
"retrospective_design","imaging",FALSE,FALSE,TRUE,1,0,0,3.87096774193548,3
"residual_confounding","study_bias",FALSE,FALSE,TRUE,1,0,0,3.2258064516129,3
"assay_cost","measurement_bias",FALSE,FALSE,TRUE,1,0,0,2.58064516129032,3
"biomarker_timing","measurement_bias",FALSE,FALSE,TRUE,1,0,0,2.58064516129032,3
"culture_sensitivity","microbiology_test",FALSE,FALSE,TRUE,1,0,0,1.93548387096774,3
"heterogeneity","study_bias",FALSE,FALSE,TRUE,1,0,0,1.93548387096774,3
"measurement_error","measurement_bias",FALSE,FALSE,TRUE,1,0,0,1.93548387096774,3
"publication_bias","study_bias",FALSE,FALSE,TRUE,1,0,0,1.93548387096774,3
"spectrum_bias","study_bias",FALSE,FALSE,TRUE,1,0,0,1.93548387096774,3
"confounding_by_healthcare_access","study_bias",FALSE,FALSE,TRUE,1,0,0,1.29032258064516,3
"culture_yield","microbiology_test",FALSE,FALSE,TRUE,1,0,0,1.29032258064516,3
"inclusion_criteria","study_bias",FALSE,FALSE,TRUE,1,0,0,1.29032258064516,3
"incomplete_data","study_bias",FALSE,FALSE,TRUE,1,0,0,1.29032258064516,3
"limited_external_validity","study_bias",FALSE,FALSE,TRUE,1,0,0,1.29032258064516,3
"limited_power","study_bias",FALSE,FALSE,TRUE,1,0,0,1.29032258064516,3
"measurement_bias_of_biomarkers","measurement_bias",FALSE,FALSE,TRUE,1,0,0,1.29032258064516,3
"misclassification_of_etiology","study_bias",FALSE,FALSE,TRUE,1,0,0,1.29032258064516,3
"missing_biomarkers","measurement_bias",FALSE,FALSE,TRUE,1,0,0,1.29032258064516,3
"retrospective_data_quality","study_bias",FALSE,FALSE,TRUE,1,0,0,1.29032258064516,3
